feature,importance,model,importance_abs,feature_group
Community Area,0.33453000927716775,decision_tree,0.33453000927716775,spatial
hour,0.304324645279965,decision_tree,0.304324645279965,temporal
hour_cos,0.10604582383278892,decision_tree,0.10604582383278892,temporal
crimes_last_14d,0.0877939442774721,decision_tree,0.0877939442774721,historical
crimes_last_30d,0.07522435457421625,decision_tree,0.07522435457421625,historical
crimes_last_7d,0.04102879213705036,decision_tree,0.04102879213705036,historical
dow_sin,0.021119716546700126,decision_tree,0.021119716546700126,temporal
hour_sin,0.006743098659899779,decision_tree,0.006743098659899779,temporal
crimes_last_90d,0.004335424071836781,decision_tree,0.004335424071836781,historical
Beat,0.00256848818436356,decision_tree,0.00256848818436356,spatial
Ward,0.0024491888665186274,decision_tree,0.0024491888665186274,spatial
day_of_week,0.00241871811075294,decision_tree,0.00241871811075294,temporal
day_of_year,0.0023261894280352693,decision_tree,0.0023261894280352693,temporal
is_night,0.001985829181666567,decision_tree,0.001985829181666567,temporal
District,0.0015967993782042143,decision_tree,0.0015967993782042143,spatial
month_cos,0.0015651804549528592,decision_tree,0.0015651804549528592,temporal
is_weekend,0.001185034696425798,decision_tree,0.001185034696425798,temporal
X Coordinate,0.0006689820387696442,decision_tree,0.0006689820387696442,spatial
is_rush_hour,0.000665941932776612,decision_tree,0.000665941932776612,temporal
grid_lat_bin,0.00032917078689007274,decision_tree,0.00032917078689007274,spatial
dow_cos,0.0003242177625180001,decision_tree,0.0003242177625180001,temporal
week_of_year,0.0003112831051563537,decision_tree,0.0003112831051563537,temporal
Latitude,0.00021930575548383493,decision_tree,0.00021930575548383493,spatial
Y Coordinate,0.00013716469632248654,decision_tree,0.00013716469632248654,spatial
month_sin,8.661851154139548e-05,decision_tree,8.661851154139548e-05,temporal
month,1.607845252475525e-05,decision_tree,1.607845252475525e-05,temporal
Y Coordinate_missing,0.0,decision_tree,0.0,missing_indicator
Longitude,0.0,decision_tree,0.0,spatial
grid_lon_bin,0.0,decision_tree,0.0,spatial
Latitude_missing,0.0,decision_tree,0.0,missing_indicator
X Coordinate_missing,0.0,decision_tree,0.0,missing_indicator
Longitude_missing,0.0,decision_tree,0.0,missing_indicator
Beat_missing,0.0,decision_tree,0.0,missing_indicator
Community Area_missing,0.0,decision_tree,0.0,missing_indicator
Ward_missing,0.0,decision_tree,0.0,missing_indicator
District_missing,0.0,decision_tree,0.0,missing_indicator
crime_density_500m,0.0,decision_tree,0.0,historical
