feature,importance,model,importance_abs,feature_group,importance_std
hour_sin,0.049623032453801105,hist_gradient_boosting,0.049623032453801105,temporal,9.794599166307713e-05
hour,0.030685583424238307,hist_gradient_boosting,0.030685583424238307,temporal,0.000940348041080681
day_of_week,0.0016821059267421834,hist_gradient_boosting,0.0016821059267421834,temporal,0.0003355379156683324
dow_sin,0.001245139135250195,hist_gradient_boosting,0.001245139135250195,temporal,0.00042930275664103184
X Coordinate,-0.0009791508144801008,hist_gradient_boosting,0.0009791508144801008,spatial,0.00031180178102588265
crimes_last_30d,0.0008031154478777891,hist_gradient_boosting,0.0008031154478777891,historical,0.0
Y Coordinate,-0.0006379363293621765,hist_gradient_boosting,0.0006379363293621765,spatial,0.0007711645036590031
Community Area,-0.0004960246004383828,hist_gradient_boosting,0.0004960246004383828,spatial,0.0003549560438696556
Beat,0.0004920648477025225,hist_gradient_boosting,0.0004920648477025225,spatial,0.002636419381091476
Latitude,-0.0004483658424098813,hist_gradient_boosting,0.0004483658424098813,spatial,0.0006450318064281273
Ward,-0.0004089841668788896,hist_gradient_boosting,0.0004089841668788896,spatial,0.0
week_of_year,-0.00027990305838532237,hist_gradient_boosting,0.00027990305838532237,temporal,0.0004517864325186483
Latitude_missing,-0.0002618893490621499,hist_gradient_boosting,0.0002618893490621499,missing_indicator,0.00013880032176213138
crimes_last_7d,0.0002455502093169137,hist_gradient_boosting,0.0002455502093169137,historical,0.002444039361111403
month_cos,-0.00023721831710576957,hist_gradient_boosting,0.00023721831710576957,temporal,0.0006972073553553529
District,0.0001844537685010028,hist_gradient_boosting,0.0001844537685010028,spatial,0.0008017355490984082
dow_cos,-0.00018252722654794608,hist_gradient_boosting,0.00018252722654794608,temporal,5.8339537013178214e-05
crimes_last_14d,0.0001598574507440942,hist_gradient_boosting,0.0001598574507440942,historical,8.814825153920849e-05
is_rush_hour,0.0001194485979449933,hist_gradient_boosting,0.0001194485979449933,temporal,0.0002010734020999326
day_of_year,-6.079266430738528e-05,hist_gradient_boosting,6.079266430738528e-05,temporal,0.0
month_sin,5.8018821278071896e-05,hist_gradient_boosting,5.8018821278071896e-05,temporal,0.0
hour_cos,2.397572241308321e-05,hist_gradient_boosting,2.397572241308321e-05,temporal,4.397424187330985e-05
crimes_last_90d,-2.9643944115420597e-06,hist_gradient_boosting,2.9643944115420597e-06,historical,0.0
grid_lat_bin,-1.004929645809227e-06,hist_gradient_boosting,1.004929645809227e-06,spatial,0.0
is_night,0.0,hist_gradient_boosting,0.0,temporal,0.0
Y Coordinate_missing,0.0,hist_gradient_boosting,0.0,missing_indicator,0.0
Longitude,0.0,hist_gradient_boosting,0.0,spatial,0.0005862438940602262
month,0.0,hist_gradient_boosting,0.0,temporal,0.0
grid_lon_bin,0.0,hist_gradient_boosting,0.0,spatial,0.0
X Coordinate_missing,0.0,hist_gradient_boosting,0.0,missing_indicator,0.0
is_weekend,0.0,hist_gradient_boosting,0.0,temporal,0.00010759469977532289
Longitude_missing,0.0,hist_gradient_boosting,0.0,missing_indicator,0.0
Beat_missing,0.0,hist_gradient_boosting,0.0,missing_indicator,0.00018921171595562888
Community Area_missing,0.0,hist_gradient_boosting,0.0,missing_indicator,0.00038751458269888116
Ward_missing,0.0,hist_gradient_boosting,0.0,missing_indicator,0.0004615092222319115
District_missing,0.0,hist_gradient_boosting,0.0,missing_indicator,0.0005726514498907449
crime_density_500m,0.0,hist_gradient_boosting,0.0,historical,0.0
