feature,importance,model,importance_abs,feature_group
X Coordinate,0.07349435404746779,random_forest,0.07349435404746779,spatial
Y Coordinate,0.0651861504016454,random_forest,0.0651861504016454,spatial
crimes_last_90d,0.0651808723148575,random_forest,0.0651808723148575,historical
Latitude,0.06372865319376389,random_forest,0.06372865319376389,spatial
hour_sin,0.06278065182892092,random_forest,0.06278065182892092,temporal
day_of_year,0.05933621133037804,random_forest,0.05933621133037804,temporal
hour,0.05751521860811661,random_forest,0.05751521860811661,temporal
crimes_last_30d,0.057425279606990835,random_forest,0.057425279606990835,historical
crimes_last_14d,0.05260507071687413,random_forest,0.05260507071687413,historical
Beat,0.051773214826462674,random_forest,0.051773214826462674,spatial
crimes_last_7d,0.047968127414114395,random_forest,0.047968127414114395,historical
hour_cos,0.04426931226160736,random_forest,0.04426931226160736,temporal
week_of_year,0.04178962044762592,random_forest,0.04178962044762592,temporal
Ward,0.03629989794668907,random_forest,0.03629989794668907,spatial
grid_lat_bin,0.035471777716887656,random_forest,0.035471777716887656,spatial
Community Area,0.033503470947775275,random_forest,0.033503470947775275,spatial
day_of_week,0.022526041011790676,random_forest,0.022526041011790676,temporal
dow_sin,0.022411896297992805,random_forest,0.022411896297992805,temporal
month,0.018310817749260553,random_forest,0.018310817749260553,temporal
month_cos,0.018178485908807322,random_forest,0.018178485908807322,temporal
District,0.017342074806937204,random_forest,0.017342074806937204,spatial
month_sin,0.016964881429230257,random_forest,0.016964881429230257,temporal
dow_cos,0.01510871669901239,random_forest,0.01510871669901239,temporal
is_night,0.007008219207128091,random_forest,0.007008219207128091,temporal
is_weekend,0.005922012683795022,random_forest,0.005922012683795022,temporal
is_rush_hour,0.00451203332879395,random_forest,0.00451203332879395,temporal
Longitude_missing,0.0008602850173993815,random_forest,0.0008602850173993815,missing_indicator
X Coordinate_missing,0.0008563461118969934,random_forest,0.0008563461118969934,missing_indicator
Latitude_missing,0.0008406000125883605,random_forest,0.0008406000125883605,missing_indicator
Y Coordinate_missing,0.0008297061251895504,random_forest,0.0008297061251895504,missing_indicator
District_missing,0.0,random_forest,0.0,missing_indicator
Ward_missing,0.0,random_forest,0.0,missing_indicator
Community Area_missing,0.0,random_forest,0.0,missing_indicator
Beat_missing,0.0,random_forest,0.0,missing_indicator
grid_lon_bin,0.0,random_forest,0.0,spatial
Longitude,0.0,random_forest,0.0,spatial
crime_density_500m,0.0,random_forest,0.0,historical
