ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12763975,JF320281,07/17/2022 01:00:00 AM,091XX S PHILLIPS AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,True,423,4.0,7.0,48.0,04A,1194093.0,1844743.0,2022,01/03/2023 03:40:27 PM,41.728909632,-87.56457716,"(41.728909632, -87.56457716)"
12879111,JF458378,11/01/2022 05:39:00 PM,044XX W GLADYS AVE,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,1131,11.0,28.0,26.0,18,1146804.0,1897985.0,2022,01/03/2023 03:40:27 PM,41.876042273,-87.736454823,"(41.876042273, -87.736454823)"
12870255,JF447787,10/24/2022 08:30:00 AM,040XX N CENTRAL PARK AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,False,False,1723,17.0,45.0,16.0,05,1151668.0,1926700.0,2022,01/03/2023 03:40:27 PM,41.954744622,-87.717839147,"(41.954744622, -87.717839147)"
12778812,JF338773,07/31/2022 12:00:00 AM,011XX N PINE AVE,0560,ASSAULT,SIMPLE,STREET,False,False,1524,15.0,37.0,25.0,08A,1139290.0,1907336.0,2022,01/03/2023 03:40:27 PM,41.901842669,-87.763816093,"(41.901842669, -87.763816093)"
12838509,JF409684,09/25/2022 04:53:00 AM,059XX W MONTROSE AVE,0610,BURGLARY,FORCIBLE ENTRY,GROCERY FOOD STORE,False,False,1622,16.0,38.0,15.0,05,1136139.0,1928648.0,2022,01/03/2023 03:40:27 PM,41.96038198,-87.774880416,"(41.96038198, -87.774880416)"
12661135,JF196336,04/03/2022 11:56:00 PM,075XX S SANGAMON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,621,6.0,17.0,71.0,08B,1171281.0,1854830.0,2022,01/03/2023 03:40:27 PM,41.757118414,-87.647848064,"(41.757118414, -87.647848064)"
12758102,JF313026,07/08/2022 07:00:00 AM,006XX S PAULINA ST,0810,THEFT,OVER $500,HOSPITAL BUILDING / GROUNDS,False,False,1231,12.0,27.0,28.0,06,1165153.0,1897317.0,2022,01/03/2023 03:40:27 PM,41.873839312,-87.669102656,"(41.873839312, -87.669102656)"
12692842,JF234795,05/08/2022 05:57:00 PM,010XX W ADDISON ST,0440,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",SPORTS ARENA / STADIUM,True,False,1923,19.0,44.0,6.0,08B,1168634.0,1924088.0,2022,01/03/2023 03:40:27 PM,41.947225886,-87.655545441,"(41.947225886, -87.655545441)"
12663975,JF199891,04/06/2022 11:21:00 PM,0000X E 117TH PL,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,532,5.0,9.0,53.0,15,1178701.0,1827065.0,2022,01/03/2023 03:40:27 PM,41.680762168,-87.621496413,"(41.680762168, -87.621496413)"
12828199,JF397326,09/14/2022 03:30:00 PM,072XX S TALMAN AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,COMMERCIAL / BUSINESS OFFICE,False,False,831,8.0,18.0,66.0,11,1159960.0,1856536.0,2022,01/03/2023 03:40:27 PM,41.762039982,-87.689291121,"(41.762039982, -87.689291121)"
